Rank,Year,Month,Day,Year_to_Date_Rank,Last_Week_Rank,Title,Type,Exclusive,Release_Date,Days_in_Top_10,Viewership_Score
7,2020,7,23,-,-,Ip Man 4: The Finale,Movie,No,"Jul 21, 2020",1,4
8,2020,7,23,8,5,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",22,158
9,2020,7,23,7,-,Indian Matchmaking,TV Show,Yes,"Jul 16, 2020",4,9
10,2020,7,23,9,4,Dr. Seussâ The Lorax,Movie,No,"Jul 7, 2020",16,88
1,2020,7,24,3,-,Fear City: New York vs. The…,TV Show,Yes,"Jul 22, 2020",2,18
2,2020,7,24,1,-,Cursed,TV Show,Yes,"Jul 17, 2020",7,68
3,2020,7,24,2,-,The Last Dance,TV Show,Yes,"Jul 19, 2020",5,42
4,2020,7,24,7,-,Ip Man 4: The Finale,Movie,No,"Jul 21, 2020",2,11
5,2020,7,24,4,7,Dark Desire,TV Show,Yes,"Jul 15, 2020",9,47
6,2020,7,24,6,4,Down to Earth with Zac Efron,TV Show,Yes,"Jul 10, 2020",14,95
7,2020,7,24,10,5,Dr. Seussâ The Lorax,Movie,No,"Jul 7, 2020",17,92
8,2020,7,24,9,-,Indian Matchmaking,TV Show,Yes,"Jul 16, 2020",5,12
9,2020,7,24,-,-,In the Dark,TV Show,No,"Jul 5, 2019",2,3
10,2020,7,24,5,1,Fatal Affair,Movie,Yes,"Jul 16, 2020",8,61
1,2020,7,25,-,-,The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",1,10
2,2020,7,25,1,-,Fear City: New York vs. The…,TV Show,Yes,"Jul 22, 2020",3,27
3,2020,7,25,2,2,Cursed,TV Show,Yes,"Jul 17, 2020",8,76
4,2020,7,25,3,-,The Last Dance,TV Show,Yes,"Jul 19, 2020",6,49
5,2020,7,25,4,-,Ip Man 4: The Finale,Movie,No,"Jul 21, 2020",3,17
6,2020,7,25,5,8,Dark Desire,TV Show,Yes,"Jul 15, 2020",10,52
7,2020,7,25,-,-,Animal Crackers,Movie,Yes,"Jul 24, 2020",1,4
8,2020,7,25,6,5,Down to Earth with Zac Efron,TV Show,Yes,"Jul 10, 2020",15,98
9,2020,7,25,-,-,The Kissing Booth,Movie,Yes,"May 11, 2020",1,2
10,2020,7,25,8,-,Indian Matchmaking,TV Show,Yes,"Jul 16, 2020",6,13
1,2020,7,26,1,-,The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",2,20
2,2020,7,26,2,-,Fear City: New York vs. The…,TV Show,Yes,"Jul 22, 2020",4,36
3,2020,7,26,3,1,Cursed,TV Show,Yes,"Jul 17, 2020",9,84
4,2020,7,26,4,-,The Last Dance,TV Show,Yes,"Jul 19, 2020",7,56
5,2020,7,26,7,-,Animal Crackers,Movie,Yes,"Jul 24, 2020",2,10
6,2020,7,26,9,-,The Kissing Booth,Movie,Yes,"May 11, 2020",2,7
7,2020,7,26,5,-,Ip Man 4: The Finale,Movie,No,"Jul 21, 2020",4,21
8,2020,7,26,6,6,Dark Desire,TV Show,Yes,"Jul 15, 2020",11,55
9,2020,7,26,-,3,The Old Guard,Movie,Yes,"Jul 10, 2020",13,105
10,2020,7,26,8,4,Down to Earth with Zac Efron,TV Show,Yes,"Jul 10, 2020",16,99
1,2020,7,27,1,-,The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",3,30
2,2020,7,27,2,-,Fear City: New York vs. The…,TV Show,Yes,"Jul 22, 2020",5,45
3,2020,7,27,4,4,The Last Dance,TV Show,Yes,"Jul 19, 2020",8,64
4,2020,7,27,3,1,Cursed,TV Show,Yes,"Jul 17, 2020",10,91
5,2020,7,27,-,-,Shameless,TV Show,No,"Jun 30, 2016",1,6
6,2020,7,27,5,-,Animal Crackers,Movie,Yes,"Jul 24, 2020",3,15
7,2020,7,27,6,-,The Kissing Booth,Movie,Yes,"May 11, 2020",3,11
8,2020,7,27,9,3,The Old Guard,Movie,Yes,"Jul 10, 2020",14,108
9,2020,7,27,10,5,Down to Earth with Zac Efron,TV Show,Yes,"Jul 10, 2020",17,101
10,2020,7,27,7,-,Ip Man 4: The Finale,Movie,No,"Jul 21, 2020",5,22
1,2020,7,28,1,-,The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",4,40
2,2020,7,28,5,-,Shameless,TV Show,No,"Jun 30, 2016",2,15
3,2020,7,28,2,-,Fear City: New York vs. The…,TV Show,Yes,"Jul 22, 2020",6,53
4,2020,7,28,3,2,The Last Dance,TV Show,Yes,"Jul 19, 2020",9,71
5,2020,7,28,6,-,Animal Crackers,Movie,Yes,"Jul 24, 2020",4,21
6,2020,7,28,4,1,Cursed,TV Show,Yes,"Jul 17, 2020",11,96
7,2020,7,28,7,-,The Kissing Booth,Movie,Yes,"May 11, 2020",4,15
8,2020,7,28,9,4,Down to Earth with Zac Efron,TV Show,Yes,"Jul 10, 2020",18,104
9,2020,7,28,-,5,Dark Desire,TV Show,Yes,"Jul 15, 2020",12,57
10,2020,7,28,-,-,In the Dark,TV Show,No,"Jul 5, 2019",3,4
1,2020,7,29,1,-,The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",5,50
2,2020,7,29,2,-,Shameless,TV Show,No,"Jun 30, 2016",3,24
3,2020,7,29,5,-,Animal Crackers,Movie,Yes,"Jul 24, 2020",5,29
4,2020,7,29,4,2,The Last Dance,TV Show,Yes,"Jul 19, 2020",10,78
5,2020,7,29,6,1,Cursed,TV Show,Yes,"Jul 17, 2020",12,102
6,2020,7,29,3,-,Fear City: New York vs. The…,TV Show,Yes,"Jul 22, 2020",7,58
7,2020,7,29,-,-,Last Chance U,TV Show,Yes,"Jul 29, 2016",1,4
8,2020,7,29,7,-,The Kissing Booth,Movie,Yes,"May 11, 2020",5,18
9,2020,7,29,9,4,Dark Desire,TV Show,Yes,"Jul 15, 2020",13,59
10,2020,7,29,10,10,In the Dark,TV Show,No,"Jul 5, 2019",4,5
1,2020,7,30,2,-,Shameless,TV Show,No,"Jun 30, 2016",4,34
2,2020,7,30,1,-,The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",6,59
3,2020,7,30,7,-,Last Chance U,TV Show,Yes,"Jul 29, 2016",2,12
4,2020,7,30,4,2,The Last Dance,TV Show,Yes,"Jul 19, 2020",11,85
5,2020,7,30,3,-,Animal Crackers,Movie,Yes,"Jul 24, 2020",6,35
6,2020,7,30,5,1,Cursed,TV Show,Yes,"Jul 17, 2020",13,107
7,2020,7,30,6,3,Fear City: New York vs. The…,TV Show,Yes,"Jul 22, 2020",8,62
8,2020,7,30,8,-,The Kissing Booth,Movie,Yes,"May 11, 2020",6,21
9,2020,7,30,9,4,Dark Desire,TV Show,Yes,"Jul 15, 2020",14,61
10,2020,7,30,10,-,In the Dark,TV Show,No,"Jul 5, 2019",5,6
1,2020,7,31,1,-,Shameless,TV Show,No,"Jun 30, 2016",5,44
2,2020,7,31,2,-,The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",7,68
3,2020,7,31,5,-,Animal Crackers,Movie,Yes,"Jul 24, 2020",7,43
4,2020,7,31,4,3,The Last Dance,TV Show,Yes,"Jul 19, 2020",12,92
5,2020,7,31,3,-,Last Chance U,TV Show,Yes,"Jul 29, 2016",3,18
6,2020,7,31,6,2,Cursed,TV Show,Yes,"Jul 17, 2020",14,112
7,2020,7,31,-,-,Transformers: War for Cyber…,TV Show,Yes,"Jul 30, 2020",1,4
8,2020,7,31,7,1,Fear City: New York vs. The…,TV Show,Yes,"Jul 22, 2020",9,65
9,2020,7,31,-,-,Zookeeper,Movie,No,"Jul 26, 2020",1,2
10,2020,7,31,9,5,Dark Desire,TV Show,Yes,"Jul 15, 2020",15,62
1,2020,8,1,-,-,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",1,10
2,2020,8,1,1,-,Shameless,TV Show,No,"Jun 30, 2016",6,53
3,2020,8,1,2,1,The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",8,76
4,2020,8,1,3,7,Animal Crackers,Movie,Yes,"Jul 24, 2020",8,50
5,2020,8,1,4,4,The Last Dance,TV Show,Yes,"Jul 19, 2020",13,98
6,2020,8,1,5,-,Last Chance U,TV Show,Yes,"Jul 29, 2016",4,23
7,2020,8,1,6,3,Cursed,TV Show,Yes,"Jul 17, 2020",15,116
8,2020,8,1,9,-,Zookeeper,Movie,No,"Jul 26, 2020",2,5
9,2020,8,1,7,-,Transformers: War for Cyber…,TV Show,Yes,"Jul 30, 2020",2,6
10,2020,8,1,-,-,Sugar Rush,TV Show,Yes,"Jul 13, 2018",1,1
1,2020,8,2,1,-,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",2,20
2,2020,8,2,2,-,Shameless,TV Show,No,"Jun 30, 2016",7,62
3,2020,8,2,3,1,The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",9,84
4,2020,8,2,5,4,The Last Dance,TV Show,Yes,"Jul 19, 2020",14,105
5,2020,8,2,4,5,Animal Crackers,Movie,Yes,"Jul 24, 2020",9,56
6,2020,8,2,6,-,Last Chance U,TV Show,Yes,"Jul 29, 2016",5,28
7,2020,8,2,8,-,Zookeeper,Movie,No,"Jul 26, 2020",3,9
8,2020,8,2,10,-,Sugar Rush,TV Show,Yes,"Jul 13, 2018",2,4
9,2020,8,2,7,3,Cursed,TV Show,Yes,"Jul 17, 2020",16,118
10,2020,8,2,-,-,Moesha,TV Show,No,"Aug 1, 2020",1,1
1,2020,8,3,1,-,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",3,30
2,2020,8,3,2,5,Shameless,TV Show,No,"Jun 30, 2016",8,71
3,2020,8,3,-,-,Rogue Warfare: The Hunt,Movie,No,"Aug 1, 2020",1,8
4,2020,8,3,4,3,The Last Dance,TV Show,Yes,"Jul 19, 2020",15,112
5,2020,8,3,3,1,The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",10,90
6,2020,8,3,10,-,Moesha,TV Show,No,"Aug 1, 2020",2,6
7,2020,8,3,8,-,Sugar Rush,TV Show,Yes,"Jul 13, 2018",3,8
8,2020,8,3,5,6,Animal Crackers,Movie,Yes,"Jul 24, 2020",10,59
9,2020,8,3,6,-,Last Chance U,TV Show,Yes,"Jul 29, 2016",6,30
10,2020,8,3,9,4,Cursed,TV Show,Yes,"Jul 17, 2020",17,119
1,2020,8,4,1,-,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",4,40
2,2020,8,4,2,2,Shameless,TV Show,No,"Jun 30, 2016",9,80
3,2020,8,4,7,-,Sugar Rush,TV Show,Yes,"Jul 13, 2018",4,16
4,2020,8,4,4,4,The Last Dance,TV Show,Yes,"Jul 19, 2020",16,119
5,2020,8,4,6,-,Moesha,TV Show,No,"Aug 1, 2020",3,12
6,2020,8,4,5,1,The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",11,95
7,2020,8,4,-,-,Latte & the Magic Waterstone,Movie,Yes,"Jul 31, 2020",1,4
8,2020,8,4,-,-,Immigration Nation,TV Show,Yes,"Aug 3, 2020",1,3
9,2020,8,4,3,-,Rogue Warfare: The Hunt,Movie,No,"Aug 1, 2020",2,10
10,2020,8,4,8,5,Animal Crackers,Movie,Yes,"Jul 24, 2020",11,60
1,2020,8,5,1,-,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",5,50
2,2020,8,5,2,2,Shameless,TV Show,No,"Jun 30, 2016",10,89
3,2020,8,5,8,-,Immigration Nation,TV Show,Yes,"Aug 3, 2020",2,11
4,2020,8,5,-,-,Malibu Rescue: The Next Wave,Movie,Yes,"Aug 3, 2020",1,7
5,2020,8,5,3,-,Sugar Rush,TV Show,Yes,"Jul 13, 2018",5,22
6,2020,8,5,4,4,The Last Dance,TV Show,Yes,"Jul 19, 2020",17,124
7,2020,8,5,-,-,Jurassic Park,Movie,No,"Aug 1, 2020",1,4
8,2020,8,5,5,-,Moesha,TV Show,No,"Aug 1, 2020",4,15
9,2020,8,5,6,1,The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",12,97
10,2020,8,5,7,-,Latte & the Magic Waterstone,Movie,Yes,"Jul 31, 2020",2,5
1,2020,8,6,1,-,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",6,60
2,2020,8,6,2,1,Shameless,TV Show,No,"Jun 30, 2016",11,98
3,2020,8,6,-,-,Worldâs Most Wanted,TV Show,Yes,"Aug 5, 2020",1,8
4,2020,8,6,4,-,Malibu Rescue: The Next Wave,Movie,Yes,"Aug 3, 2020",2,14
5,2020,8,6,3,-,Immigration Nation,TV Show,Yes,"Aug 3, 2020",3,17
6,2020,8,6,7,-,Jurassic Park,Movie,No,"Aug 1, 2020",2,9
7,2020,8,6,5,-,Sugar Rush,TV Show,Yes,"Jul 13, 2018",6,26
8,2020,8,6,-,-,Dennis the Menace,Movie,No,"Aug 1, 2020",1,3
9,2020,8,6,6,4,The Last Dance,TV Show,Yes,"Jul 19, 2020",18,126
10,2020,8,6,8,-,Moesha,TV Show,No,"Aug 1, 2020",5,16
1,2020,8,7,1,-,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",7,70
2,2020,8,7,3,-,Worldâs Most Wanted,TV Show,Yes,"Aug 5, 2020",2,17
3,2020,8,7,-,-,The Seven Deadly Sins,TV Show,Yes,"Nov 1, 2015",1,8
4,2020,8,7,2,1,Shameless,TV Show,No,"Jun 30, 2016",12,105
5,2020,8,7,8,-,Dennis the Menace,Movie,No,"Aug 1, 2020",2,9
6,2020,8,7,6,-,Jurassic Park,Movie,No,"Aug 1, 2020",3,14
7,2020,8,7,4,-,Malibu Rescue: The Next Wave,Movie,Yes,"Aug 3, 2020",3,18
8,2020,8,7,5,-,Immigration Nation,TV Show,Yes,"Aug 3, 2020",4,20
9,2020,8,7,7,-,Sugar Rush,TV Show,Yes,"Jul 13, 2018",7,28
10,2020,8,7,9,4,The Last Dance,TV Show,Yes,"Jul 19, 2020",19,127
1,2020,8,8,1,1,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",8,80
2,2020,8,8,2,-,Worldâs Most Wanted,TV Show,Yes,"Aug 5, 2020",3,26
3,2020,8,8,3,-,The Seven Deadly Sins,TV Show,Yes,"Nov 1, 2015",2,16
4,2020,8,8,-,-,Work It,Movie,Yes,"Aug 7, 2020",1,7
5,2020,8,8,4,2,Shameless,TV Show,No,"Jun 30, 2016",13,111
6,2020,8,8,-,-,Wizards: Tales of Arcadia,TV Show,Yes,"Aug 7, 2020",1,5
7,2020,8,8,-,-,Selling Sunset,TV Show,Yes,"Mar 22, 2019",1,4
8,2020,8,8,5,-,Dennis the Menace,Movie,No,"Aug 1, 2020",3,12
9,2020,8,8,6,-,Jurassic Park,Movie,No,"Aug 1, 2020",4,16
10,2020,8,8,10,5,The Last Dance,TV Show,Yes,"Jul 19, 2020",20,128
1,2020,8,9,1,1,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",9,90
2,2020,8,9,2,-,Worldâs Most Wanted,TV Show,Yes,"Aug 5, 2020",4,35
3,2020,8,9,3,-,The Seven Deadly Sins,TV Show,Yes,"Nov 1, 2015",3,24
4,2020,8,9,4,-,Work It,Movie,Yes,"Aug 7, 2020",2,14
5,2020,8,9,5,2,Shameless,TV Show,No,"Jun 30, 2016",14,117
6,2020,8,9,6,-,Wizards: Tales of Arcadia,TV Show,Yes,"Aug 7, 2020",2,10
7,2020,8,9,7,-,Selling Sunset,TV Show,Yes,"Mar 22, 2019",2,8
8,2020,8,9,8,-,Dennis the Menace,Movie,No,"Aug 1, 2020",4,15
9,2020,8,9,9,-,Jurassic Park,Movie,No,"Aug 1, 2020",5,18
10,2020,8,9,10,4,The Last Dance,TV Show,Yes,"Jul 19, 2020",21,129
1,2020,8,10,1,1,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",10,100
2,2020,8,10,2,-,Worldâs Most Wanted,TV Show,Yes,"Aug 5, 2020",5,44
3,2020,8,10,4,-,Work It,Movie,Yes,"Aug 7, 2020",3,22
4,2020,8,10,3,-,The Seven Deadly Sins,TV Show,Yes,"Nov 1, 2015",4,31
5,2020,8,10,5,2,Shameless,TV Show,No,"Jun 30, 2016",15,123
6,2020,8,10,6,-,Wizards: Tales of Arcadia,TV Show,Yes,"Aug 7, 2020",3,15
7,2020,8,10,7,-,Selling Sunset,TV Show,Yes,"Mar 22, 2019",3,12
8,2020,8,10,8,-,Dennis the Menace,Movie,No,"Aug 1, 2020",5,18
9,2020,8,10,9,-,Jurassic Park,Movie,No,"Aug 1, 2020",6,20
10,2020,8,10,10,4,The Last Dance,TV Show,Yes,"Jul 19, 2020",22,130
1,2020,8,11,1,1,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",11,110
2,2020,8,11,-,-,The Lost Husband,Movie,No,"Aug 10, 2020",1,9
3,2020,8,11,2,-,Worldâs Most Wanted,TV Show,Yes,"Aug 5, 2020",6,52
4,2020,8,11,3,-,Work It,Movie,Yes,"Aug 7, 2020",4,29
5,2020,8,11,4,-,The Seven Deadly Sins,TV Show,Yes,"Nov 1, 2015",5,37
6,2020,8,11,5,2,Shameless,TV Show,No,"Jun 30, 2016",16,128
7,2020,8,11,6,-,Wizards: Tales of Arcadia,TV Show,Yes,"Aug 7, 2020",4,19
8,2020,8,11,7,-,Selling Sunset,TV Show,Yes,"Mar 22, 2019",4,15
9,2020,8,11,8,-,Dennis the Menace,Movie,No,"Aug 1, 2020",6,20
10,2020,8,11,-,-,Game On: A Comedy Crossover…,TV Show,Yes,"Aug 10, 2020",1,1
1,2020,8,12,2,-,The Lost Husband,Movie,No,"Aug 10, 2020",2,19
2,2020,8,12,1,1,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",12,119
3,2020,8,12,3,-,Worldâs Most Wanted,TV Show,Yes,"Aug 5, 2020",7,60
4,2020,8,12,5,-,The Seven Deadly Sins,TV Show,Yes,"Nov 1, 2015",6,44
5,2020,8,12,4,-,Work It,Movie,Yes,"Aug 7, 2020",5,35
6,2020,8,12,6,2,Shameless,TV Show,No,"Jun 30, 2016",17,133
7,2020,8,12,10,-,Game On: A Comedy Crossover…,TV Show,Yes,"Aug 10, 2020",2,5
8,2020,8,12,7,-,Wizards: Tales of Arcadia,TV Show,Yes,"Aug 7, 2020",5,22
9,2020,8,12,8,-,Selling Sunset,TV Show,Yes,"Mar 22, 2019",5,17
10,2020,8,12,9,-,Dennis the Menace,Movie,No,"Aug 1, 2020",7,21
1,2020,8,13,1,-,The Lost Husband,Movie,No,"Aug 10, 2020",3,29
2,2020,8,13,2,1,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",13,128
3,2020,8,13,3,3,Worldâs Most Wanted,TV Show,Yes,"Aug 5, 2020",8,68
4,2020,8,13,4,-,The Seven Deadly Sins,TV Show,Yes,"Nov 1, 2015",7,51
5,2020,8,13,6,2,Shameless,TV Show,No,"Jun 30, 2016",18,139
6,2020,8,13,5,-,Work It,Movie,Yes,"Aug 7, 2020",6,40
7,2020,8,13,9,-,Selling Sunset,TV Show,Yes,"Mar 22, 2019",6,21
8,2020,8,13,10,8,Dennis the Menace,Movie,No,"Aug 1, 2020",8,24
9,2020,8,13,8,-,Wizards: Tales of Arcadia,TV Show,Yes,"Aug 7, 2020",6,24
10,2020,8,13,-,-,Mr. Peabody & Sherman,Movie,No,"Aug 11, 2020",1,1
1,2020,8,14,1,-,The Lost Husband,Movie,No,"Aug 10, 2020",4,39
2,2020,8,14,2,1,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",14,137
3,2020,8,14,10,-,Mr. Peabody & Sherman,Movie,No,"Aug 11, 2020",2,9
4,2020,8,14,3,2,Worldâs Most Wanted,TV Show,Yes,"Aug 5, 2020",9,75
5,2020,8,14,4,3,The Seven Deadly Sins,TV Show,Yes,"Nov 1, 2015",8,57
6,2020,8,14,5,4,Shameless,TV Show,No,"Jun 30, 2016",19,144
7,2020,8,14,-,-,(Un)Well,TV Show,Yes,"Aug 12, 2020",1,4
8,2020,8,14,6,-,Work It,Movie,Yes,"Aug 7, 2020",7,43
9,2020,8,14,7,-,Selling Sunset,TV Show,Yes,"Mar 22, 2019",7,23
10,2020,8,14,8,5,Dennis the Menace,Movie,No,"Aug 1, 2020",9,25
1,2020,8,15,-,-,Project Power,Movie,Yes,"Aug 14, 2020",1,10
2,2020,8,15,1,-,The Lost Husband,Movie,No,"Aug 10, 2020",5,48
3,2020,8,15,2,1,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",15,145
4,2020,8,15,3,-,Mr. Peabody & Sherman,Movie,No,"Aug 11, 2020",3,16
5,2020,8,15,-,-,The Legend of Korra,TV Show,No,"Aug 14, 2020",1,6
6,2020,8,15,5,3,The Seven Deadly Sins,TV Show,Yes,"Nov 1, 2015",9,62
7,2020,8,15,7,-,(Un)Well,TV Show,Yes,"Aug 12, 2020",2,8
8,2020,8,15,6,5,Shameless,TV Show,No,"Jun 30, 2016",20,147
9,2020,8,15,-,-,Teenage Bounty Hunters,TV Show,Yes,"Aug 14, 2020",1,2
10,2020,8,15,4,2,Worldâs Most Wanted,TV Show,Yes,"Aug 5, 2020",10,76
1,2020,8,16,1,-,Project Power,Movie,Yes,"Aug 14, 2020",2,20
2,2020,8,16,5,-,The Legend of Korra,TV Show,No,"Aug 14, 2020",2,15
3,2020,8,16,2,-,The Lost Husband,Movie,No,"Aug 10, 2020",6,56
4,2020,8,16,3,1,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",16,152
5,2020,8,16,4,-,Mr. Peabody & Sherman,Movie,No,"Aug 11, 2020",4,22
6,2020,8,16,9,-,Teenage Bounty Hunters,TV Show,Yes,"Aug 14, 2020",2,7
7,2020,8,16,7,-,(Un)Well,TV Show,Yes,"Aug 12, 2020",3,12
8,2020,8,16,10,2,Worldâs Most Wanted,TV Show,Yes,"Aug 5, 2020",11,79
9,2020,8,16,8,5,Shameless,TV Show,No,"Jun 30, 2016",21,149
10,2020,8,16,6,3,The Seven Deadly Sins,TV Show,Yes,"Nov 1, 2015",10,63
1,2020,8,17,1,-,Project Power,Movie,Yes,"Aug 14, 2020",3,30
2,2020,8,17,2,-,The Legend of Korra,TV Show,No,"Aug 14, 2020",3,24
3,2020,8,17,3,-,The Lost Husband,Movie,No,"Aug 10, 2020",7,64
4,2020,8,17,4,1,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",17,159
5,2020,8,17,6,-,Teenage Bounty Hunters,TV Show,Yes,"Aug 14, 2020",3,13
6,2020,8,17,5,-,Mr. Peabody & Sherman,Movie,No,"Aug 11, 2020",5,27
7,2020,8,17,7,-,(Un)Well,TV Show,Yes,"Aug 12, 2020",4,16
8,2020,8,17,9,5,Shameless,TV Show,No,"Jun 30, 2016",22,152
9,2020,8,17,8,2,Worldâs Most Wanted,TV Show,Yes,"Aug 5, 2020",12,81
10,2020,8,17,10,4,The Seven Deadly Sins,TV Show,Yes,"Nov 1, 2015",11,64
1,2020,8,18,1,-,Project Power,Movie,Yes,"Aug 14, 2020",4,40
2,2020,8,18,2,-,The Legend of Korra,TV Show,No,"Aug 14, 2020",4,33
3,2020,8,18,4,1,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",18,167
4,2020,8,18,5,-,Teenage Bounty Hunters,TV Show,Yes,"Aug 14, 2020",4,20
5,2020,8,18,6,-,Mr. Peabody & Sherman,Movie,No,"Aug 11, 2020",6,33
6,2020,8,18,3,2,The Lost Husband,Movie,No,"Aug 10, 2020",8,69
7,2020,8,18,7,-,(Un)Well,TV Show,Yes,"Aug 12, 2020",5,20
8,2020,8,18,8,6,Shameless,TV Show,No,"Jun 30, 2016",23,155
9,2020,8,18,10,5,The Seven Deadly Sins,TV Show,Yes,"Nov 1, 2015",12,66
10,2020,8,18,-,-,Glow Up,TV Show,Yes,"Dec 6, 2019",1,1
1,2020,8,19,1,-,Project Power,Movie,Yes,"Aug 14, 2020",5,50
2,2020,8,19,2,-,The Legend of Korra,TV Show,No,"Aug 14, 2020",5,42
3,2020,8,19,3,2,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",19,175
4,2020,8,19,4,-,Teenage Bounty Hunters,TV Show,Yes,"Aug 14, 2020",5,27
5,2020,8,19,5,-,Mr. Peabody & Sherman,Movie,No,"Aug 11, 2020",7,39
6,2020,8,19,6,1,The Lost Husband,Movie,No,"Aug 10, 2020",9,74
7,2020,8,19,7,-,(Un)Well,TV Show,Yes,"Aug 12, 2020",6,24
8,2020,8,19,8,6,Shameless,TV Show,No,"Jun 30, 2016",24,158
9,2020,8,19,-,-,The Game,TV Show,No,"Sep 15, 2014",1,2
10,2020,8,19,10,-,Glow Up,TV Show,Yes,"Dec 6, 2019",2,2
1,2020,8,20,1,-,Project Power,Movie,Yes,"Aug 14, 2020",6,60
2,2020,8,20,2,-,The Legend of Korra,TV Show,No,"Aug 14, 2020",6,51
3,2020,8,20,3,2,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",20,183
4,2020,8,20,4,-,Teenage Bounty Hunters,TV Show,Yes,"Aug 14, 2020",6,34
5,2020,8,20,5,10,Mr. Peabody & Sherman,Movie,No,"Aug 11, 2020",8,45
6,2020,8,20,-,-,High Score,TV Show,Yes,"Aug 19, 2020",1,5
7,2020,8,20,6,1,The Lost Husband,Movie,No,"Aug 10, 2020",10,78
8,2020,8,20,9,-,The Game,TV Show,No,"Sep 15, 2014",2,5
9,2020,8,20,8,5,Shameless,TV Show,No,"Jun 30, 2016",25,160
10,2020,8,20,-,-,Drunk Parents,Movie,No,"Aug 17, 2020",1,1
1,2020,8,21,1,-,Project Power,Movie,Yes,"Aug 14, 2020",7,70
2,2020,8,21,2,-,The Legend of Korra,TV Show,No,"Aug 14, 2020",7,60
3,2020,8,21,3,2,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",21,191
4,2020,8,21,4,-,Teenage Bounty Hunters,TV Show,Yes,"Aug 14, 2020",7,41
5,2020,8,21,6,-,High Score,TV Show,Yes,"Aug 19, 2020",2,11
6,2020,8,21,5,3,Mr. Peabody & Sherman,Movie,No,"Aug 11, 2020",9,50
7,2020,8,21,10,-,Drunk Parents,Movie,No,"Aug 17, 2020",2,5
8,2020,8,21,8,-,The Game,TV Show,No,"Sep 15, 2014",3,8
9,2020,8,21,7,1,The Lost Husband,Movie,No,"Aug 10, 2020",11,80
10,2020,8,21,9,6,Shameless,TV Show,No,"Jun 30, 2016",26,161
1,2020,8,22,-,-,Lucifer,TV Show,No,"Dec 15, 2018",1,10
2,2020,8,22,1,1,Project Power,Movie,Yes,"Aug 14, 2020",8,79
3,2020,8,22,2,5,The Legend of Korra,TV Show,No,"Aug 14, 2020",8,68
4,2020,8,22,7,-,Drunk Parents,Movie,No,"Aug 17, 2020",3,12
5,2020,8,22,3,3,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",22,197
6,2020,8,22,5,-,High Score,TV Show,Yes,"Aug 19, 2020",3,16
7,2020,8,22,-,-,The Sleepover,Movie,Yes,"Aug 21, 2020",1,4
8,2020,8,22,6,4,Mr. Peabody & Sherman,Movie,No,"Aug 11, 2020",10,53
9,2020,8,22,4,9,Teenage Bounty Hunters,TV Show,Yes,"Aug 14, 2020",8,43
10,2020,8,22,-,-,Rust Valley Restorers,TV Show,Yes,"Aug 23, 2019",1,1
1,2020,8,23,1,-,Lucifer,TV Show,No,"Dec 15, 2018",2,20
2,2020,8,23,2,1,Project Power,Movie,Yes,"Aug 14, 2020",9,88
3,2020,8,23,7,-,The Sleepover,Movie,Yes,"Aug 21, 2020",2,12
4,2020,8,23,4,-,Drunk Parents,Movie,No,"Aug 17, 2020",4,19
5,2020,8,23,3,2,The Legend of Korra,TV Show,No,"Aug 14, 2020",9,74
6,2020,8,23,5,4,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",23,202
